Social,Page url,Reg Date,Subscribers,media_kind,Post Url,media_views,post_likes,media_likes,reposts,post_views,Comments,ER Post,ER View,VR Post,Text,Date
VK,https://vk.com/club235734976,2026-02-18,1187,clip,https://vk.com/wall-235734976_1546,61,0,1,0,29,0,0.00,1.64,2.10,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-01 18:43:57 MSK
VK,https://vk.com/club235734976,2026-02-19,1187,clip,https://vk.com/wall-235734976_1544,155,3,3,0,8,0,37.50,1.94,19.38,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-03-01 16:32:34 MSK
VK,https://vk.com/club235734976,2026-02-20,1187,clip,https://vk.com/wall-235734976_1529,25,0,0,0,4,0,0.00,0.00,6.25,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 18:45:26 MSK
VK,https://vk.com/club235734976,2026-02-21,1187,clip,https://vk.com/wall-235734976_1521,31,1,2,0,5,0,20.00,6.45,6.20,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 15:06:47 MSK
VK,https://vk.com/club235734976,2026-02-22,1187,clip,https://vk.com/wall-235734976_1517,27,0,0,0,4,0,0.00,0.00,6.75,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-28 11:27:45 MSK
VK,https://vk.com/club235734976,2026-02-23,1187,clip,https://vk.com/wall-235734976_1492,96,0,0,0,5,0,0.00,0.00,19.20,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 18:30:41 MSK
VK,https://vk.com/club235734976,2026-02-24,1187,clip,https://vk.com/wall-235734976_1486,32,0,3,0,4,0,0.00,9.38,8.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 14:50:59 MSK
VK,https://vk.com/club235734976,2026-02-25,1187,clip,https://vk.com/wall-235734976_1482,253,1,1,0,6,0,16.67,0.40,42.17,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 12:46:46 MSK
VK,https://vk.com/club235734976,2026-02-26,1187,clip,https://vk.com/wall-235734976_1480,22,0,0,0,4,0,0.00,0.00,5.50,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-27 11:14:26 MSK
VK,https://vk.com/club235734976,2026-02-27,1187,clip,https://vk.com/wall-235734976_1423,192,0,0,0,5,0,0.00,0.00,38.40,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-26 14:44:50 MSK
VK,https://vk.com/club235734976,2026-02-28,1187,clip,https://vk.com/wall-235734976_1406,183,1,1,0,4,0,25.00,0.55,45.75,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-26 11:51:40 MSK
VK,https://vk.com/club235734976,2026-03-01,1187,clip,https://vk.com/wall-235734976_1399,445,1,1,0,4,0,25.00,0.22,111.25,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-26 11:09:20 MSK
VK,https://vk.com/club235734976,2026-03-02,1187,clip,https://vk.com/wall-235734976_1294,176,0,0,0,8,0,0.00,0.00,22.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-25 16:19:09 MSK
VK,https://vk.com/club235734976,2026-03-03,1187,clip,https://vk.com/wall-235734976_1257,231,1,1,0,5,0,20.00,0.43,46.20,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-25 11:14:47 MSK
VK,https://vk.com/club235734976,2026-03-04,1187,clip,https://vk.com/wall-235734976_1139,60,0,0,0,15,0,0.00,0.00,4.00,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-24 18:46:15 MSK
VK,https://vk.com/club235734976,2026-03-05,1187,clip,https://vk.com/wall-235734976_1096,63,1,2,0,18,0,5.56,3.17,3.50,"Твой рекламный кабинет в ТГ - <a href=""https://traffic.adsgram.ai/registration?code=VKFriendAdsGram"" class=""blue-selection"" target=""_blank"">https://traffic.adsgram.ai/registration?code=VKFriendAdsGram</a>",2026-02-24 14:56:55 MSK
VK,https://vk.com/club235734976,2026-03-06,1187,clip,https://vk.com/wall-235734976_1063,159,4,7,0,25,0,16.00,4.40,6.36,AdsGram,2026-02-24 11:25:58 MSK
VK,https://vk.com/club235734976,2026-03-07,1187,clip,https://vk.com/wall-235734976_945,925,7,10,1,36,0,22.22,1.19,25.69,AdsGram,2026-02-23 16:16:31 MSK
VK,https://vk.com/club235734976,2026-03-08,1187,clip,https://vk.com/wall-235734976_852,446,6,6,3,42,0,21.43,2.02,10.62,AdsGram,2026-02-22 18:48:09 MSK
